Name, Visits, Twitter, Discord, YouTube, Roblox group
[MISE À JOUR 1.5] Défenseurs du multivers,"10,082,666",https://twitter.com/System_Arts,https://discord.gg/multiversedefenders,https://youtube.com/channel/UC8pIC5BPOA2u_i4Ak8SwWsQ,
Era des Grimoires [RELEASE],"4,216,287",,https://discord.gg/gamefunzy,,
[ 🎮 ] BETA en ligne de RoBending,"2,372,763",,https://discord.gg/robending,,
𝗙𝗥🌌Anime Dimensions,"1,139,298,419",https://twitter.com/coolbullsAS,https://discord.gg/animedimensions,,
[NOUVELLE VERSION CI-DESSOUS] SOLO BLOX LEVELING,"6,865,232",,https://discord.gg/5EEktMXFdf,,
[🐝 The Bees History] ☁️ Brings Hub 🌙,"59,128",,https://discord.gg/brings-879646197768405002,,
LifeTogether 🏠 RP [UPD15],"257,335,360",https://twitter.com/Rhyles_,https://discord.gg/lifetogether,,
Seaside RP🏡🌴,"18,523,991",,https://discord.gg/bsdxDBF4JB,,
Baybrook 🏠 RP,"13,410,005",https://twitter.com/PlayBaybrookRP,https://discord.gg/bSwbr6Thvv,,https://www.roblox.com/groups/16694226
KeyWest 🏠 RP,"20,156,880",,https://discord.gg/Rxe3cGJB47,,
❤️ ÉVÉNEMENT UGC ❤️ RP de Seaboard City 🏡,"388,707,138",https://twitter.com/SharkFStudios,https://discord.gg/33fHhcES,,https://www.roblox.com/groups/3751488
[🎹Game] Bilberry City🏠RP,"40,353,330",,https://discord.gg/XFyCK77xUZ,,https://www.roblox.com/groups/32685798
SimToLife 🏠 RP,"97,328,568",,https://discord.gg/uYM6rVe4An,https://youtube.com/channel/UCsGRzKZ179QUL9zujQ6VSag,https://www.roblox.com/groups/8851565
Paradis 🏠 RP,"153,969,607",https://twitter.com/PearRBX,https://discord.gg/8wgvGJRQgP,,
Parc à thème jouable Livetopia 🎠 UPD3,"4,233,497,027",https://twitter.com/livetopiagame,https://discord.gg/fW9VAsUfQV,https://youtube.com/c/livetopia,
Family Rp Dream Topia Adopt Paradise Roleplay Kids,"215,115,741",https://twitter.com/AstraStud,,,https://www.roblox.com/groups/4584635
RoBuddies! [FRANÇAIS🎉],"75,351,649",https://twitter.com/protori_,https://discord.gg/Pj9CkkrTNA,https://youtube.com/protori,
🏠Live Life Rich and Famous in Paradise!,"78,390,528",,https://discord.gg/naknJUVNfa,https://youtube.com/channel/UCkjmlwbD1bTtcmurHxYCwkQ,https://www.roblox.com/groups/5077000
🎥[SKINS] Tower Defense Simulator🎥,"3,083,004,611",https://twitter.com/paradoxum_games,https://discord.gg/tds,,
[TOXICNATEUR] Défense de la tour X: BETA,"85,401,303",https://twitter.com/TowerDefenseX,,,
Maintenance 🔨,"724,161",,https://discord.gg/Nqun8zC7FU,,https://www.roblox.com/groups/33490741
🕒[Maintenance] Vintage TDS,"1,141,782",,https://discord.gg/tntkatCjH6,,
💥 [Bientôt] 🔨 Retro TDS,"18,447,415",,https://discord.gg/CwrxBmbVWK,,
Jeu de morph TDS ordinaire,"10,419,479",,https://discord.gg/ZYHsVhhPHf,https://youtube.com/channel/UCdeEHKQWTu1mFZy5A2VrIFQ,https://www.roblox.com/groups/7887989
{WINTEREVENT} TDS:RP d'origine,"14,722,964",,https://discord.gg/9Q5JxRyxJP,https://youtube.com/channel/UCdAuw2qCnt-4LHBfC76zWng,
The Battle Bricks: Totally Accurate Roleplay Game,"493,813",https://twitter.com/ParalleIStudios,https://discord.gg/jDQeyAYGNp,https://youtube.com/channel/UCzInjix9oX5iFXFVcX01Stw,
The Battle Bricks: Bricks & Bullets,"164,659",,https://discord.gg/KTNhySWpZh,,
[SOULFUSE] TBB:PVP,"277,493",,https://discord.gg/YFqgZRTMxt,,
RAIGFORCE,"1,415,077",,https://discord.gg/fqCK84yUqQ,,https://www.roblox.com/groups/9835935
Les briques de bataille,"5,801,010",,https://discord.gg/fqCK84yUqQ,,https://www.roblox.com/groups/9835935
[Event] Fight Bosses From DIfferent Games,"228,826",,https://discord.gg/jrb8u7rqVU,,
Combats de boss de raid,"559,736",,,https://youtube.com/Kazdumb/featured,https://www.roblox.com/groups/11862704
[Mise à jour] Batailles de tours: Front de bataille,"31,272,175",,https://discord.gg/M6HGUQESxZ,,
Batailles de tours 🎃,"596,811,945",,https://discord.gg/tbc,,https://www.roblox.com/groups/3404390
Blitz de la tour,"114,160,566",https://twitter.com/LordCatFood,https://discord.gg/tbz,,
Noobs en combat [v5.3],"116,717,316",,https://discord.gg/zv7b6y88dW,,
VaniTS v4.9.8a,"4,164,017",,https://discord.gg/Ehm3hCvfkz,,
RP militaire miniature,"896,982",,https://discord.gg/K266n3nh5h,,
[F3X] Construis ta base et tes troupes,"6,065,068",,https://discord.gg/7vnx8SH4tp,,https://www.roblox.com/groups/5277403
Mannequins vs Noobs,"36,299,882",,https://discord.gg/HP8sqXA4pD,,https://www.roblox.com/groups/12079514
Initiation au combat,"3,194,792",,https://discord.gg/GNrZD8GW2v,,https://www.roblox.com/groups/32454792
"☣️ RE:Infected [Bientôt disponible, Tests publics]","1,557,331",,https://discord.gg/Q4CXKgv6uV,,
Hiver en décomposition,"23,662,992",,https://discord.gg/yXDnKzzm7d,https://youtube.com/channel/UCDJDGHM4JvZ9jXZl_7eswyQ,
Contact: A-888,"4,794,808",,https://discord.gg/jbZ5njnTaU,,
Activités Anormales: Directive Équinoxe,"3,425,910",,https://discord.gg/jbZ5njnTaU,,
Chairs & Poudres à Canon,"40,213,681",https://twitter.com/gutsblackpowder,https://discord.gg/gutsandblackpowder,,
Sang et Fer,"79,857,884",,https://discord.gg/bloodandiron,,
CENTAURA,"10,291,918",https://twitter.com/centauraworld,https://discord.gg/hMbf3hU,,https://www.roblox.com/groups/8099975
Choc d'obus [Alpha 1.4.2],"11,318,123",,https://discord.gg/YGEe4zfeTq,https://youtube.com/channel/UCcTYaEbzYJJYm94goJf-Riw,https://www.roblox.com/groups/9407985
MORT DEVANT,"11,136,133",,https://discord.gg/hMbf3hU,,https://www.roblox.com/groups/8099975
[ALPHA 1.6.1] Frontline: Karelia 40 - 44,"6,255,185",,https://discord.gg/FGd4DqJzQ3,,
Les Troubles (Beta v4),"1,064,320",,https://discord.gg/Unvky7ywKf,,https://www.roblox.com/groups/12739750
Guerre des tranchées,"691,297",,https://discord.gg/xXYXuWtwGE,,
Jour de l'Infamie: Jour-D,"4,779,166",,https://discord.gg/2x5sWqbMHQ,https://youtube.com/channel/UCsk-fFQx4vuOonPSPkQKAZg,
OPÉRATION OVERLORD,"16,252,127",,https://discord.gg/2yhP6BXWNp,,
❄️ Bataille pour la Normandie [MISE À JOUR D'HIVER],"1,624,936",https://twitter.com/TeutonnicRealm,https://discord.gg/teutonnia,https://youtube.com/channel/UCEjLFzg91J9iozVdRgRlD_w,
[BETA] Saint-Pétersbourg,"203,633",,https://discord.gg/tTycHTN4Sa,,
Jeu de rôle militaire de la WW2,"7,189,594",,https://discord.gg/BNtBMyS,,https://www.roblox.com/groups/4545116
Navire de guerre RP | HMS Belfast,"18,078,415",https://twitter.com/NavalRoleplay,https://discord.gg/NRPC,,https://www.roblox.com/groups/3534363
❄️ Jeu de rôle sous-marin,"17,728,042",,https://discord.gg/GK7A4SS,,https://www.roblox.com/groups/3297339
"[VWRP] Tay Ninh, Vietnam","5,083,389",https://twitter.com/FouledRBLX,https://discord.gg/vwrp,https://youtube.com/channel/UCVaUEa37V7C8wNB96PWPJrw,
BGTP,"2,322,842",,https://discord.gg/dUx5B5T,,
État de l'anarchie 0.18 CORRECTIONS D'ÉTABLISSEMENT DE DATA,"17,601,403",https://twitter.com/SoAOfficial__,https://discord.gg/stateofanarchy,,
[0.21.10] Deadline,"17,940,344",https://twitter.com/recoildeadline,https://discord.gg/uCdTrz3,https://youtube.com/channel/UCqnTRoeF1lbiG60EADh9hwQ,
Équipe de feu [v0.2.0e],"12,879,703",,https://discord.gg/uzbtTjEqJW,,
[MISE À JOUR !] La guerre de l'Est,"7,267,615",,https://discord.gg/STfSXurSym,https://youtube.com/channel/UCJ-0_XuFRR01fFCb9Au7y_w,
Desert War [ALPHA],"1,091,481",,https://discord.gg/YU5fM7Fjpy,,https://www.roblox.com/groups/33045184
(PG-7VR!) Winter Arrival - [4.6.0],"1,382,614",,https://discord.gg/VpssrKRs2M,,
'94 REMASTERED,"5,028,529",,https://discord.gg/GuhaKv5yK5,https://youtube.com/channel/UCaXsObAOMmc_YORLHLzdZUQ,https://www.roblox.com/groups/14999727
Европейская Война,"4,002,522",,https://discord.gg/PyY2JtDFd5,https://youtube.com/channel/UCN_k4bbUaBk9tZxl76vM19A,https://www.roblox.com/groups/15529301
{UPDATE!} Bakhmut [Бахмут],"1,275,321",,https://discord.gg/y8AmkstZEn,,
Appel à la guerre,"1,780,140",,https://discord.gg/4xJ9Mc8pSQ,,
Чечня roleplay,"3,977,178",,https://discord.gg/RcdBCfdjks,,
Lames Sanglantes [ALPHA],"17,787,436",,https://discord.gg/blades,,
Napoleonic Wars,"5,998,001",,https://discord.gg/napoleonic,,
Marque des batailles de guerre,"6,642,274",,https://discord.gg/mow,,
⚔️ Déchue Drapeau V2,"2,181,099",https://twitter.com/defender_games,https://discord.gg/PgbnGMK8sE,,
Waterloo à la maison,"7,541,578",,https://discord.gg/ZuRsGfT4jH,,
Camden à la maison,"46,088",,https://discord.gg/EJYsDBdC6R,,https://www.roblox.com/groups/33078943
Combat de chars à équipage multiple 4,"16,666,939",,https://discord.gg/multicrew,,
Simulateur de char maudit「LAST RESORT」,"18,622,813",https://twitter.com/TanmkGame,https://discord.gg/tanmk,,
[SAISON 4] Steel Titans Beta 2.8.1,"16,269,006",,https://discord.gg/steeltitans,,
Simulateur de char réaliste 2.0 [BETA],"249,722",,https://discord.gg/aKfEkpxvn3,,
Néo Warfare X [BETA],"24,578,255",,https://discord.gg/mfsx,,
[ Contenu supprimé ],"10,119,901",,https://discord.gg/cTrgVBweee,,
GUERRE RÉALISTE,"9,469,126",,https://discord.gg/aVgm7uVUJj,https://youtube.com/channel/UCFwXXqhzxciC497MVvNkKkw,https://www.roblox.com/groups/11666030
DÉFENSE RÉALISTE,"6,508,330",,https://discord.gg/aVgm7uVUJj,https://youtube.com/channel/UCFwXXqhzxciC497MVvNkKkw,https://www.roblox.com/groups/11666030
[MISE À JOUR + 4X] Défense de la tour All Star,"6,882,255,941",https://twitter.com/AllStarTowerDef,https://discord.gg/allstar,,
Deepwoken: Verset 2,"685,682,310",https://twitter.com/Deepwoken,https://discord.gg/deepwoken,,
Planificateur de tenue Deepwoken,"709,926",,https://discord.gg/sPr8WvQzqy,,
Deepwoken Playground,"883,646",,https://discord.gg/BhpdS9845K,,
fakewoken 3 [test de combat],"7,553,231",,https://discord.gg/RxZ6CStTsA,,
Eldus Valley (ALPHA),"170,931",,https://discord.gg/NNFKNjvAEg,,
Mondes de Mémoire,"304,250",https://twitter.com/MemoriaWorlds,https://discord.gg/4XdQePrU9U,,https://www.roblox.com/groups/13308111
Jeu de Lore,"3,919,086",,https://discord.gg/87fCUd3cXd,https://youtube.com/channel/UCynUHcsmXcpLHlhpHWviguw,
Baluarte,"5,163,417",,https://discord.gg/Jm2DZjVmEJ,,
55 jours à Pékin,"4,578,954",,https://discord.gg/3eHBhrF,,
Essai de mousquet [CARGES],"6,782,925",,https://discord.gg/musket,,https://www.roblox.com/groups/3585667
[⛪LEIPZIG] Napoleonic Tower Defence,"1,574,456",,https://discord.gg/MpHrVqC3QR,,https://www.roblox.com/groups/33472308
Tankery! [MISE À JOUR DE L'ÉQUILIBRE],"23,017,847",https://twitter.com/Greg_Tame,https://discord.gg/RSk9xFs,,
[ 🎉 PINATA!] Vieux simulateur d'animal de compagnie X! 🐾,"2,369,055",,https://discord.gg/oldpsx,,
[UPD] champs de bataille OP,"3,659,262",,https://discord.gg/opbattlegrounds,,
Clover Battlegrounds,"8,262,742",https://twitter.com/AmineZribi6,https://discord.gg/HHrZ4aBceM,,
[ ✨ ] Entraîneur de visée MM2,"121,069,923",https://twitter.com/bluxyl_rblx,https://discord.gg/SXC3zkUNnR,https://youtube.com/c/Bluxyl,
[ 🎄 XMAS!!!] MM2 de Flico (R15),"10,475,984",,https://discord.gg/NjDaB5wurZ,,
5v5 MM2 Mansion 2,"155,997,243",,https://discord.gg/DbSDHEhv9k,,
5v5 MM2 Milbase,"87,533,619",,https://discord.gg/DbSDHEhv9k,,
5v5 MM2 Factory,"43,591,849",,https://discord.gg/DbSDHEhv9k,,
5v5 MM2 House 2,"24,529,450",,https://discord.gg/DbSDHEhv9k,,
5v5 MM2 Remastered! [BETA],"2,782,745",,https://discord.gg/rh5fzr9QDX,,
MM2 NPC KILL 2,"4,985,869",,https://discord.gg/q8Qeq9spUt,https://youtube.com/channel/UCVFHrOIXbfbysDPYyxbkmPw,
